,Area,YearBuilt,Rooms,Location,Price,Floor,BuildingAge
416,116,1401,2, پاسداران,14500000000,8,1
417,120,1402,2, جنت‌آباد جنوبی,17500000000,3,0
418,111,1396,2, شهرک غرب,24200000000,1,6
419,65,1385,1, پونک,5700000000,1,17
420,95,1402,2, بریانک,6200000000,3,0
421,122,1401,3, جی,7503000000,3,1
422,142,1397,2, آرژانتین,21300000000,0,5
423,62,1398,2, مبارک‌آباد بهشتی,1800000000,1,4
424,207,1388,3, ولنجک,33000000000,3,14
425,35,1398,1, آجودانیه,27000000000,3,4
426,138,1398,2, ولنجک,19000000000,3,4
427,53,1392,1, لشکر,3550000000,1,10
428,100,1400,2, مبارک‌آباد بهشتی,3300000000,2,2
429,84,1384,2, ایران,4700000000,4,18
430,41,1376,0, بریانک,1610000000,0,26
431,188,1402,3, زعفرانیه,53000000000,3,0
432,345,1395,4, سعادت‌آباد,65000000000,6,7
433,118,1386,3, سهروردی,14500000000,4,16
434,137,1400,2, جردن,21500000000,4,2
435,105,1400,2, دربند,13500000000,2,2
436,43,1393,1, لشکر,2830000000,2,9
437,86,1394,2, جنت‌آباد مرکزی,10500000000,2,8
438,63,1383,2, جنت‌آباد مرکزی,6610000000,2,19
439,202,1402,3, سعادت‌آباد,40000000000,5,0
440,235,1402,3, سعادت‌آباد,70000000000,4,0
441,165,1402,3, دریاچه شهدای خلیج فارس,11500000000,12,0
442,106,1402,2, استاد معین,8160000000,3,0
443,235,1401,3, کوهک,30550000000,19,1
444,240,1395,3, دروس,48000000000,3,7
445,190,1384,3, دروس,31000000000,2,18
446,93,1393,2, دروس,17650000000,0,9
447,160,1397,3, سعادت‌آباد,26999000000,2,5
448,130,1398,2, دریاچه شهدای خلیج فارس,14500000000,19,4
449,122,1385,2, پاسداران,14000000000,2,17
450,250,1402,4, دریاچه شهدای خلیج فارس,5500000000,18,0
451,150,1401,3, سعادت‌آباد,30000000000,5,1
452,61,1382,1, قنات‌کوثر,4500000000,0,20
453,92,1381,2, اباذر,6500000000,3,21
454,70,1392,1, نعمت‌آباد,2450000000,0,10
455,47,1397,1, جیحون,3120000000,1,5
456,72,1391,2, تهرانپارس شرقی,5100000000,5,11
457,140,1397,3, دروس,24800000000,2,5
458,96,1397,2, زنجان,6350000000,1,5
459,115,1402,3, دیلمان,9300000000,3,0
460,88,1392,2, ازگل,21000000000,3,10
461,58,1383,2, کوی فردوس,5650000000,0,19
462,54,1381,1, کوی فردوس,4800000000,0,21
463,57,1387,1, سازمان برنامه,5200000000,0,15
464,67,1402,1, پونک,8980000000,3,0
465,73,1400,2, فرمانیه,11500000000,2,2
466,114,1400,2, سوهانک,14800000000,2,2
467,85,1400,2, حکیمیه,1050000000,0,2
468,120,1394,2, دریاچه شهدای خلیج فارس,8300000000,0,8
469,60,1377,1, خانی‌آباد نو,5800000000,0,25
470,176,1400,3, مرزداران,33000000000,3,2
471,116,1386,3, شهران جنوبی,12200000000,5,16
472,82,1380,2, آذربایجان,4250000000,1,22
473,128,1392,3, ایوانک,21800000000,3,10
474,107,1393,2, پونک,12600000000,5,9
475,75,1388,2, افسریه,4500000000,0,14
476,50,1382,1, جی,2850000000,3,20
477,182,1400,3, جنت‌آباد مرکزی,22800000000,3,2
478,68,1380,2, پونک,6300000000,0,22
479,260,1384,4, فرمانیه,38000000000,6,18
480,46,1395,1, جیحون,3100000000,4,7
481,106,1400,2, دریاچه شهدای خلیج فارس,10600000000,7,2
482,78,1385,2, کوی فردوس,7950000000,1,17
483,98,1395,2, جنت‌آباد جنوبی,9600000000,3,7
484,53,1376,1, تهرانپارس شرقی,4250000000,0,26
485,168,1370,2, عباس‌آباد,16500000000,0,32
486,170,1397,3, نیاوران,42000000000,1,5
487,79,1393,2, کوی فردوس,8000000000,4,9
488,88,1385,2, شهرک پرواز,7000000000,4,17
489,140,1396,2, شهرک شهید باقری,9730000000,3,6
490,225,1388,3, زعفرانیه,52875000000,6,14
491,54,1380,1, جیحون,3600000000,1,22
492,96,1389,2, پونک,9900000000,1,13
493,148,1401,3, سلسبیل,1200000000,0,1
494,130,1386,2, قیطریه,17800000000,5,16
495,185,1385,3, ونک,20350000000,5,17
496,335,1395,4, الهیه,84000000000,24,7
497,109,1379,2, ظفر,12200000000,2,23
498,40,1388,1, مسعودیه,2500000000,0,14
499,65,1402,2, آبشار,2500000000,10,0
500,85,1380,2, اقدسیه,8200000000,0,22
501,115,1395,2, زعفرانیه,30000000000,4,7
502,185,1401,3, زعفرانیه,45000000000,5,1
503,95,1398,2, نارمک,11000000000,1,4
504,53,1396,2, اندیشه (شهر زیبا),1900000000,1,6
505,116,1392,2, سعادت‌آباد,14000000000,2,10
506,56,1391,1, امامزاده حسن(ع),3950000000,4,11
507,139,1402,3, پونک,23000000000,5,0
508,118,1401,2, میرداماد,19500000000,2,1
509,80,1389,2, شهرآرا,8750000000,2,13
510,217,1399,3, زعفرانیه,88000000000,4,3
511,80,1402,2, مبارک‌آباد بهشتی,2400000000,2,0
512,318,1385,3, الهیه,62000000000,6,17
513,124,1387,2, ایران,8400000000,0,15
514,75,1395,2, مرزداران,8900000000,4,7
515,105,1399,2, ظفر,16275000000,5,3
516,155,1402,3, کوی فراز,27000000000,1,0
517,95,1395,2, نیاوران,15500000000,1,7
518,80,1402,2, خواجه نظام الملک,6300000000,4,0
519,36,1397,0, آذربایجان,2500000001,1,5
520,93,1400,2, مبارک‌آباد بهشتی,2900000000,3,2
521,80,1402,2, جمهوری,3600000000,4,0
522,70,1386,2, ستارخان,7600000000,6,16
523,115,1395,2, مرزداران,14560000000,4,7
524,180,1399,3, ولنجک,41000000000,5,3
525,220,1370,4, بلوار کشاورز,13200000000,2,32
526,51,1395,1, جیحون,3300000000,4,7
527,77,1377,2, سیزده آبان,3200000000,0,25
528,123,1402,2, پاسداران,16000000000,12,0
529,55,1390,1, وردآورد,3000000000,0,12
530,380,1399,3, زعفرانیه,100000000000,8,3
531,95,1402,2, نازی‌آباد,8100000000,0,0
532,320,1397,3, زعفرانیه,50000000000,2,5
533,130,1388,2, ولنجک,20000000000,10,14
534,42,1380,1, بریانک,2250000000,2,22
535,68,1394,2, اندیشه (شهر زیبا),1800000000,0,8
536,40,1382,1, پیروزی,2530000000,1,20
