,Area,YearBuilt,Rooms,Location,Price,Floor
74,۶۰,۱۳۸۶,۱, هاشمی,۳۹۵۰۰۰۰۰۰۰,۱ 
75,۱۲۲,۱۴۰۰,۲, ازگل,۱۲۵۰۰۰۰۰۰۰۰,0
76,۹۸,۱۳۹۹,۲, جنت‌آباد مرکزی,۱۲۱۰۰۰۰۰۰۰۰,۵
77,۱۲۶,۱۴۰۱,۲, دریاچه شهدای خلیج فارس,۹۱۲۰۰۰۰۰۰۰,0
78,۱۵۴,۱۴۰۲,۳, چیتگر,۹۰۰۰۰۰۰۰۰۰,۱۸
79,۱۰۳,۱۳۹۶,۲, وردآورد,۵۸۰۰۰۰۰۰۰۰,۱ 
80,۴۵,۱۳۹۸,۱, اندیشه (شهر زیبا),۲۴۰۰۰۰۰۰۰۰,۲ 
81,۷۰,۱۳۹۱,۲, جنت‌آباد جنوبی,۶۷۰۰۰۰۰۰۰۰,۳ 
82,۵۱,۱۳۹۰,۱, شهرک دریا,۳۸۲۰۰۰۰۰۰۰,0
83,۱۵۰,۱۳۷۵,۳, یوسف‌آباد,۱۶۷۰۰۰۰۰۰۰۰,۴
84,۳۴,۱۳۸۲,۱, نازی‌آباد,۲۴۵۰۰۰۰۰۰۰,0
85,۶۵,۱۳۸۳,۱, افسریه,۳۵۵۰۰۰۰۰۰۰,0
86,۱۱۹,۱۴۰۱,۲, پاسداران,۱۴۵۰۰۰۰۰۰۰۰,۸ 
87,۷۲,۱۳۹۱,۲, مسعودیه,۳۲۵۰۰۰۰۰۰۰,۳ 
88,۱۴۸,۱۴۰۱,۳, مرزداران,۱۷۵۰۰۰۰۰۰۰۰,۵ 
89,۵۲,۱۴۰۲,۱, استاد معین,۴۲۰۰۰۰۰۰۰۰,۴ 
90,۵۶,۱۳۸۶,۲, سازمان برنامه,۵۷۵۰۰۰۰۰۰۰,۱ 
91,۱۲۵,۱۴۰۰,۳, مرزداران,۱۷۵۰۰۰۰۰۰۰۰,۵ 
92,۶۷,۱۳۸۲,۲, فردوسی,۴۷۰۰۰۰۰۰۰۰,۳
